x1,x2,tekst,index,new_tekst,new_x1,new_diff,real hour
349.73,533.7216,Plan NS sem. zimowy 2021/2022_,1,12:00_,342.65,7.080000000000041,12:15
309.17,516.6516,"Informatyka, NS - I st., rok III, semestr 5_",1,11:00_,291.29,17.879999999999995,11:30
381.53,488.40000000000003,Sobota 09.10.2021_,1,12:00_,342.65,38.879999999999995,13
85.8,473.5816,07:00_,1,07:00_,85.8,0.0,7:15
137.18,473.5816,08:00_,1,08:00_,137.18,0.0,8:15
188.54,473.5816,09:00_,1,09:00_,188.54,0.0,9:15
239.9,473.5816,10:00_,1,10:00_,239.9,0.0,10:15
291.29,473.5816,11:00_,1,11:00_,291.29,0.0,11:15
342.65,473.5816,12:00_,1,12:00_,342.65,0.0,12:15
394.01,473.5816,13:00_,1,13:00_,394.01,0.0,13:15
445.39,473.5816,14:00_,1,14:00_,445.39,0.0,14:15
496.75,473.5816,15:00_,1,15:00_,496.75,0.0,15:15
548.11,473.5816,16:00_,1,16:00_,548.11,0.0,16:15
599.5,473.5816,17:00_,1,17:00_,599.5,0.0,17:15
650.86,473.5816,18:00_,1,18:00_,650.86,0.0,18:15
702.22,473.5816,19:00_,1,19:00_,702.22,0.0,19:15
753.6,473.5816,20:00_,1,20:00_,753.6,0.0,20:15
202.94,414.3316,Blok językowy_,1,09:00_,188.54,14.400000000000006,9:30
406.49,424.5316,"ME [w], dr hab. _",1,13:00_,394.01,12.480000000000018,13:15
496.39,424.5316,"ME [w], dr hab. _",1,14:00_,445.39,51.0,15
397.73,414.3316,"L.Błaszkiewicz, sala _",1,13:00_,394.01,3.7200000000000273,13:15
487.63,414.3316,"L.Błaszkiewicz, sala _",1,14:00_,445.39,42.24000000000001,15
428.45,404.1316,C2_,1,13:00_,394.01,34.44,13:45
518.35,404.1316,C2_,1,15:00_,496.75,21.600000000000023,15:30
579.31,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",1,16:00_,548.11,31.199999999999932,16:45
669.22,409.1716,"WdGM [w], dr hab. _A.Denisiuk,sala C2_",1,18:00_,650.86,18.360000000000014,18:30
85.8,336.2716,07:00_,1,07:00_,85.8,0.0,7:15
137.18,336.2716,08:00_,1,08:00_,137.18,0.0,8:15
188.54,336.2716,09:00_,1,09:00_,188.54,0.0,9:15
239.9,336.2716,10:00_,1,10:00_,239.9,0.0,10:15
291.29,336.2716,11:00_,1,11:00_,291.29,0.0,11:15
342.65,336.2716,12:00_,1,12:00_,342.65,0.0,12:15
394.01,336.2716,13:00_,1,13:00_,394.01,0.0,13:15
445.39,336.2716,14:00_,1,14:00_,445.39,0.0,14:15
496.75,336.2716,15:00_,1,15:00_,496.75,0.0,15:15
548.11,336.2716,16:00_,1,16:00_,548.11,0.0,16:15
599.5,336.2716,17:00_,1,17:00_,599.5,0.0,17:15
650.86,336.2716,18:00_,1,18:00_,650.86,0.0,18:15
702.22,336.2716,19:00_,1,19:00_,702.22,0.0,19:15
753.6,336.2716,20:00_,1,20:00_,753.6,0.0,20:15
375.77,351.07,Niedziela 10.10.2021_,1,12:00_,342.65,33.120000000000005,12:45
130.82,282.0616,"IO [w], dr M.Kolev, _",1,07:00_,85.8,45.019999999999996,8
220.7,282.0616,"IO [w], dr M.Kolev, _",1,09:00_,188.54,32.16,9:45
150.26,271.8616,sala C2_,1,08:00_,137.18,13.079999999999984,8:30
240.14,271.8616,sala C2_,1,10:00_,239.9,0.23999999999998067,10:15
316.61,287.2216,"ME [w], dr hab. _",1,11:00_,291.29,25.319999999999993,11:30
406.49,287.2216,"ME [w], dr hab. _",1,13:00_,394.01,12.480000000000018,13:15
307.85,277.0216,"L.Błaszkiewicz, sala _",1,11:00_,291.29,16.560000000000002,11:30
397.73,277.0216,"L.Błaszkiewicz, sala _",1,13:00_,394.01,3.7200000000000273,13:15
338.57,266.8216,C2_,1,11:00_,291.29,47.27999999999997,12
428.45,266.8216,C2_,1,13:00_,394.01,34.44,13:45
491.47,271.8616,"ERI [w], dr inż. _B.Nowak, sala C2_",1,14:00_,445.39,46.08000000000004,15
581.35,271.8616,"WWW [w], dr inż. _B.Nowak, sala C2_",1,16:00_,548.11,33.24000000000001,16:45
25.2,412.3816,ISI_,1,-1,-1.0,26.2,-1
48.72,439.2616,ISI 1_,1,-1,-1.0,49.72,-1
48.72,385.7416,ISI 2_,1,-1,-1.0,49.72,-1
25.2,275.0716,ISI_,1,-1,-1.0,26.2,-1
48.72,301.9516,ISI 1_,1,-1,-1.0,49.72,-1
48.72,248.4316,ISI 2_,1,-1,-1.0,49.72,-1
47.64,186.1316,"ME - Mieernictwo elektroniczne, ERI - Elementy robotyki inteligentnej, IO - InżyniERI oprogramowania, WdGM - Wprowadzenie do grafiki maszynowej,_WWW - Programowanie aplikacji www, ASK - Administrowanie sieciami komputerowymi, AiSD - Algorytmy i struktury danych_",1,-1,-1.0,48.64,-1
47.64,101.86160000000001,Wykonał:_Mariusz Bodzioch_,1,-1,-1.0,48.64,-1
319.85,115.9016,Przedst. samorz. stud.:_,1,11:00_,291.29,28.560000000000002,11:45
615.22,115.9016,Dziekan:_,1,17:00_,599.5,15.720000000000027,17:30
